company,clause_id,text,Arbitration,Choice of Law,Content Removal,Jurisdiction,Law,Limitation of Liability,Termination,Unilateral Change,is_unfair
9gag,9gag_15,"subscriber certifies to 9gag , inc that if subscriber is an individual -lrb- i.e. , not a corporate entity -rrb- , subscriber is at least 13 years of age .",0,0,0,0,0,0,0,0,0
9gag,9gag_16,"no one under the age of 13 may provide any personal information to or on 9gag , inc -lrb- including , for example , a name , address , telephone number or email address -rrb- .",0,0,0,0,0,0,0,0,0
9gag,9gag_17,"subscriber also certifies that it is legally permitted to use the services and access the site , and takes full responsibility for the selection and use of the services and access of the site .",0,0,0,0,0,0,0,0,0
9gag,9gag_18,"this agreement is void where prohibited by law , and the right to access the site is revoked in such jurisdictions .",0,0,0,0,0,0,0,0,0
9gag,9gag_19,"9gag , inc makes no claim that the site may be lawfully viewed or that content may be downloaded outside of hong kong .",0,0,0,0,0,0,0,0,0
9gag,9gag_20,access to the content may not be legal by certain persons or in certain countries .,0,0,0,0,0,0,0,0,0
9gag,9gag_21,"if you access the site from outside hong kong , you do so at your own risk and you are responsible for compliance with the laws of your jurisdiction .",0,0,0,0,0,0,0,0,0
9gag,9gag_22,"9gag , inc will use reasonable efforts to ensure that the site and services are available twenty-four hours a day , seven days a week .",0,0,0,0,0,0,0,0,0
9gag,9gag_23,"however , there will be occasions when the site and/or services will be interrupted for maintenance , upgrades and repairs or due to failure of telecommunications links and equipment .",0,0,0,0,0,0,0,0,0
9gag,9gag_24,"every reasonable step will be taken by 9gag , inc to minimize such disruption where it is within 9gag , inc 's reasonable control .",0,0,0,0,0,0,0,0,0
9gag,9gag_25,"you agree that neither 9gag , inc nor the site will be liable in any event to you or any other party for any suspension , modification , discontinuance or lack of availability of the site , the service , your subscriber content or other content .",0,0,0,0,0,1,0,0,1
9gag,9gag_26,"9gag , inc retains the right to create limits on use and storage in its sole discretion at any time with or without notice .",0,0,0,0,0,0,1,0,1
9gag,9gag_27,"subscriber shall be responsible for obtaining and maintaining any equipment or ancillary services needed to connect to , access the site or otherwise use the services , including , without limitation , modems , hardware , software , and long distance or local telephone service .",0,0,0,0,0,0,0,0,0
9gag,9gag_28,subscriber shall be responsible for ensuring that such equipment or ancillary services are compatible with the services .,0,0,0,0,0,0,0,0,0
9gag,9gag_29,"the site and its contents are intended solely for the use of 9gag , inc subscribers and may only be used in accordance with the terms of this agreement .",0,0,0,0,0,0,0,0,0
9gag,9gag_30,"all materials displayed or performed on the site , including , but not limited to text , graphics , logos , tools , photographs , images , illustrations , software or source code , audio and video , animations and themes -lrb- as defined below -rrb- , including without limitation the 9gag , inc template code -lrb- as defined below -rrb- -lrb- collectively , `` content '' -rrb- -lrb- other than content posted by subscriber -lrb- `` subscriber content '' -rrb- -rrb- are the property of 9gag , inc and/or third parties and are protected by hong kong and international copyright laws .",0,0,0,0,0,0,0,0,0
9gag,9gag_31,"the 9gag , inc api shall be used solely pursuant to the terms of the api terms of service .",0,0,0,0,0,0,0,0,0
9gag,9gag_32,"all trademarks , service marks , and trade names are proprietary to 9gag , inc and/or third parties .",0,0,0,0,0,0,0,0,0
9gag,9gag_33,"subscriber shall abide by all copyright notices , information , and restrictions contained in any content accessed through the services .",0,0,0,0,0,0,0,0,0
9gag,9gag_34,"the site is protected by copyright as a collective work and/or compilation , pursuant to hong kong copyright laws , international conventions , and other copyright laws .",0,0,0,0,0,0,0,0,0
9gag,9gag_35,"other than as expressly set forth in this agreement , subscriber may not copy , modify , publish , transmit , upload , participate in the transfer or sale of , reproduce -lrb- except as provided in this section -rrb- , create derivative works based on , distribute , perform , display , or in any way exploit , any of the content , software , materials , or services in whole or in part .",0,0,0,0,0,0,0,0,0
9gag,9gag_36,"subscriber may download or copy the content , and other items displayed on the site for download , for personal use only , provided that subscriber maintains all copyright and other notices contained in such content .",0,0,0,0,0,0,0,0,0
9gag,9gag_37,"downloading , copying , or storing any content for other than personal , noncommercial use is expressly prohibited without prior written permission from 9gag , inc , or from the copyright holder identified in such content 's copyright notice .",0,0,0,0,0,0,0,0,0
9gag,9gag_38,"in the event you download software from the site , the software , including any files , images incorporated in or generated by the software , and the data accompanying the software -lrb- collectively , the `` software '' -rrb- is licensed to you by 9gag , inc or third party licensors for your personal , noncommercial use , and no title to the software shall be transferred to you .",0,0,0,0,0,0,0,0,0
9gag,9gag_39,"you may own the subscriber content on which the software is recorded , but 9gag , inc or third party licensors retain full and complete title to the software and all intellectual property rights therein .",0,0,0,0,0,0,0,0,0
9gag,9gag_40,"subscriber shall own all subscriber content that subscriber contributes to the site , but hereby grants and agrees to grant 9gag , inc a non-exclusive , worldwide , royalty-free , transferable right and license -lrb- with the right to sublicense -rrb- , to use , copy , cache , publish , display , distribute , modify , create derivative works and store such subscriber content and to allow others to do so -lrb- `` content license '' -rrb- in order to provide the services .",0,0,0,0,0,0,0,0,0
9gag,9gag_41,"on termination of subscriber 's membership to the site and use of the services , 9gag , inc shall make all reasonable efforts to promptly remove from the site and cease use of the subscriber content ; however , subscriber recognizes and agrees that caching of or references to the subscriber content may not be immediately removed .",0,0,0,0,0,0,0,0,0
9gag,9gag_42,"subscriber warrants , represents and agrees subscriber has the right to grant 9gag , inc and the site the rights set forth above .",0,0,0,0,0,0,0,0,0
9gag,9gag_43,"subscriber represents , warrants and agrees that it will not contribute any subscriber content that -lrb- a -rrb- infringes , violates or otherwise interferes with any copyright or trademark of another party , -lrb- b -rrb- reveals any trade secret , unless subscriber owns the trade secret or has the owner 's permission to post it , -lrb- c -rrb- infringes any intellectual property right of another or the privacy or publicity rights of another , -lrb- d -rrb- is libelous , defamatory , abusive , threatening , harassing , hateful , offensive or otherwise violates any law or right of any third party , -lrb- e -rrb- contains a virus , trojan horse , worm , time bomb or other computer programming routine or engine that is intended to damage , detrimentally interfere with , surreptitiously intercept or expropriate any system , data or information , or -lrb- f -rrb- remains posted after subscriber has been notified that such subscriber content violates any of sections -lrb- a -rrb- to -lrb- e -rrb- of this sentence .",0,0,0,0,0,0,0,0,0
9gag,9gag_44,"9gag , inc reserves the right to remove any subscriber content from the site , suspend or terminate subscriber 's right to use the services at any time , or pursue any other remedy or relief available to 9gag , inc and/or the site under equity or law , for any reason -lrb- including , but not limited to , upon receipt of claims or allegations from third parties or authorities relating to such subscriber content or if 9gag , inc is concerned that subscriber may have breached the immediately preceding sentence -rrb- , or for no reason at all .",0,0,1,0,0,0,0,0,1
9gag,9gag_45,subscriber is responsible for all of its activity in connection with the services and accessing the site .,0,0,0,0,0,0,0,0,0
9gag,9gag_46,"any fraudulent , abusive , or otherwise illegal activity or any use of the services or content in violation of this agreement may be grounds for termination of subscriber 's right to services or to access the site .",0,0,0,0,0,0,1,0,1
9gag,9gag_47,"subscriber may not post or transmit , or cause to be posted or transmitted , any communication or solicitation designed or intended to obtain password , account , or private information from any 9gag , inc user .",0,0,0,0,0,0,0,0,0
9gag,9gag_48,"use of the site or services to violate the security of any computer network , crack passwords or security encryption codes , transfer or store illegal material including that are deemed threatening or obscene , or engage in any kind of illegal activity is expressly prohibited .",0,0,0,0,0,0,0,0,0
9gag,9gag_49,"under no circumstances will subscriber use the site or the service to -lrb- a -rrb- send unsolicited e-mails , bulk mail , spam or other materials to users of the site or any other individual , -lrb- b -rrb- harass , threaten , stalk or abuse any person or party , including other users of the site , -lrb- c -rrb- create a false identity or to impersonate another person , or -lrb- d -rrb- post any false , inaccurate or incomplete material or delete or revise any material that was not posted by you .",0,0,0,0,0,0,0,0,0
9gag,9gag_50,"9gag , inc has no special relationship with or fiduciary duty to subscriber .",0,0,0,0,0,0,0,0,0
9gag,9gag_51,"subscriber acknowledges that 9gag , inc has no control over , and no duty to take any action regarding : which users gains access to the site ; which content subscriber accesses via the site ; what effects the content may have on subscriber ; how subscriber may interpret or use the content ; or what actions subscriber may take as a result of having been exposed to the content .",0,0,0,0,0,0,0,0,0
9gag,9gag_52,much of the content of the site is provided by and is the responsibility of the user or subscriber who posted the content .,0,0,0,0,0,0,0,0,0
9gag,9gag_53,"9gag , inc does not monitor the content of the site and takes no responsibility for such content .",0,0,0,0,0,0,0,0,0
9gag,9gag_54,"subscriber releases 9gag , inc from all liability for subscriber having acquired or not acquired content through the site .",0,0,0,0,0,0,0,0,0
9gag,9gag_55,"the site may contain , or direct subscriber to sites containing , information that some people may find offensive or inappropriate .",0,0,0,0,0,0,0,0,0
9gag,9gag_56,"9gag , inc makes no representations concerning any content contained in or accessed through the site , and 9gag , inc will not be responsible or liable for the accuracy , copyright compliance , legality or decency of material contained in or accessed through the site .",0,0,0,0,0,0,0,0,0
9gag,9gag_57,"although 9gag , inc and the site will make reasonable efforts to store and preserve the material residing on the site , neither 9gag , inc nor the site is responsible or liable in any way for the failure to store , preserve or access subscriber content or other materials you transmit or archive on the site .",0,0,0,0,0,0,0,0,0
9gag,9gag_58,"you are strongly urged to take measures to preserve copies of any data , material , content or information you post or upload on the site .",0,0,0,0,0,0,0,0,0
9gag,9gag_59,you are solely responsible for creating back-ups of your subscriber content .,0,0,0,0,0,0,0,0,0
9gag,9gag_60,"the services , content , site and any software are provided on an `` as is '' basis , without warranties of any kind , either express or implied , including , without limitation , implied warranties of merchantability , fitness for a particular purpose or non-infringement .",0,0,0,0,0,0,0,0,0
9gag,9gag_61,"9gag , inc makes no representations or warranties of any kind with respect to the site , the services , including any representation or warranty that the use of the site or services will -lrb- a -rrb- be timely , uninterrupted or error-free or operate in combination with any other hardware , software , system or data , -lrb- b -rrb- meet your requirements or expectations , -lrb- c -rrb- be free from errors or that defects will be corrected , -lrb- d -rrb- be free of viruses or other harmful components .",0,0,0,0,0,0,0,0,0
9gag,9gag_62,"to the fullest extent allowed by law , 9gag , inc disclaims any liability or responsibility for the accuracy , reliability , availability , completeness , legality or operability of the material or services provided on this site .",0,0,0,0,0,1,0,0,1
9gag,9gag_63,"by using this site , you acknowledge that 9gag , inc is not responsible or liable for any harm resulting from -lrb- 1 -rrb- use of the site ; -lrb- 2 -rrb- downloading information contained on the site including but not limited to downloads of content posted by subscribers ; -lrb- 3 -rrb- unauthorized disclosure of images , information or data that results from the upload , download or storage of content posted by subscribers ; -lrb- 4 -rrb- the temporary or permanent inability to access or retrieve any subscriber content from the site , including , without limitation , harm caused by viruses , worms , trojan horses , or any similar contamination or destructive program .",0,0,0,0,0,1,0,0,1
9gag,9gag_64,"some places do not allow limitations on how long an implied warranty lasts , so the above limitations may not apply to subscriber .",0,0,0,0,0,0,0,0,0
9gag,9gag_65,users of the site may gain access from the site to third party sites on the internet through hypertext or other computer links on the site .,0,0,0,0,0,0,0,0,0
9gag,9gag_66,"third party sites are not within the supervision or control of 9gag , inc or the site .",0,0,0,0,0,0,0,0,0
9gag,9gag_67,"unless explicitly otherwise provided , neither 9gag , inc nor the site make any representation or warranty whatsoever about any third party site that is linked to the site , or endorse the products or services offered on such site .",0,0,0,0,0,0,0,0,0
9gag,9gag_68,"9gag , inc and the site disclaim : -lrb- a -rrb- all responsibility and liability for content on third party websites and -lrb- b -rrb- any representations or warranties as to the security of any information -lrb- including , without limitation , credit card and other personal information -rrb- you might be requested to give any third party , and you hereby irrevocably waive any claim against the site or 9gag , inc with respect to such sites and third party content .",0,0,0,0,0,0,0,0,0
9gag,9gag_69,"as a condition to using services , subscriber will be required to register with 9gag , inc and select a password and 9gag , inc url .",0,0,0,0,0,0,0,0,0
9gag,9gag_70,"subscriber shall provide 9gag , inc with accurate , complete , and updated registration information , including subscriber 's e-mail address .",0,0,0,0,0,0,0,0,0
9gag,9gag_71,"failure to do so shall constitute a breach of this agreement , which may result in immediate termination of subscriber 's account .",0,0,0,0,0,0,0,0,0
9gag,9gag_72,"subscriber may not -lrb- a -rrb- select or use as a 9gag , inc url a name of another person with the intent to impersonate that person ; or -lrb- b -rrb- use as a 9gag , inc url a name subject to any rights of a person other than subscriber without appropriate authorization .",0,0,0,0,0,0,0,0,0
9gag,9gag_73,"9gag , inc reserves the right to refuse registration of , or cancel a 9gag , inc url in its discretion .",0,0,0,0,0,0,0,0,0
9gag,9gag_74,"subscriber shall be responsible for maintaining the confidentiality of subscriber 's 9gag , inc password .",0,0,0,0,0,0,0,0,0
9gag,9gag_75,"subscriber is solely responsible for any use of or action taken under subscriber 's password and accepts full responsibility for all activity conducted through subscriber 's account and agrees to and hereby releases the site and 9gag , inc from any and all liability concerning such activity .",0,0,0,0,0,0,0,0,0
9gag,9gag_76,"subscriber agrees to notify 9gag , inc immediately of any actual or suspected loss , theft , or unauthorized use of subscriber 's account or password .",0,0,0,0,0,0,0,0,0
9gag,9gag_77,"the site will take reasonably security precautions when using the internet , telephone or other means to transport date or other communications , but expressly disclaims any and all liability for the accessing of any such data communications by unauthorized persons or entities .",0,0,0,0,0,0,0,0,0
9gag,9gag_78,"subscriber will indemnify and hold 9gag , inc , its directors , officers and employees , harmless , including costs and attorneys ' fees , from any claim or demand made by any third party due to or arising out of subscriber 's access to the site , use of the services , the violation of this agreement by subscriber , or the infringement by subscriber , or any third party using the subscriber 's account , of any intellectual property or other right of any person or entity .",0,0,0,0,0,0,0,0,0
9gag,9gag_79,"in no event shall 9gag , inc , its directors , officers , shareholders , employees or members be liable with respect to the site or the services for -lrb- a -rrb- any indirect , incidental , punitive , or consequential damages of any kind whatsoever ; -lrb- b -rrb- damages for loss of use , profits , data , images , subscriber content or other intangibles ; -lrb- c -rrb- damages for unauthorized use , non-performance of the site , errors or omissions ; or -lrb- d -rrb- damages related to downloading or posting content .",0,0,0,0,0,1,0,0,1
9gag,9gag_80,"9gag , inc 's and the site 's collective liability under this agreement shall be limited to three hundred u.s. dollars .",0,0,0,0,0,1,0,0,1
9gag,9gag_81,"some places do not allow the exclusion or limitation of incidental or consequential damages , so the above limitations and exclusions may not apply to subscriber .",0,0,0,0,0,0,0,0,0
9gag,9gag_82,some of the services require payment of fees .,0,0,0,0,0,0,0,0,0
9gag,9gag_83,all fees are stated in u.s. dollars .,0,0,0,0,0,0,0,0,0
9gag,9gag_84,"subscriber shall pay all applicable fees , as described on the site in connection with such services selected by subscriber , and any related taxes or additional charges .",0,0,0,0,0,0,0,0,0
9gag,9gag_85,all fees are non-refundable unless expressly stated otherwise on the site .,0,0,0,0,0,0,0,0,0
9gag,9gag_86,"subscriber represents to 9gag , inc that subscriber is the authorized account holder or an authorized user of the chosen method of payment used to pay for the paid aspects of the services .",0,0,0,0,0,0,0,0,0
9gag,9gag_87,all fee-based services and virtual goods are provided `` as is '' with no warranties of any kind .,0,0,0,0,0,0,0,0,0
9gag,9gag_88,"9gag , inc may modify and/or eliminate such fee-based services at its discretion .",0,1,0,0,0,0,0,0,1
9gag,9gag_89,subscriber understands and agrees that the payment for virtual goods grants subscriber a limited license to use the virtual goods as specified on the site .,0,0,0,0,0,0,0,0,0
9gag,9gag_90,"9gag , inc may change its prices at any time but will provide you reasonable notice of any such changes by posting the new prices on the site and by sending you email notification .",0,1,0,0,0,0,0,0,1
9gag,9gag_91,"if you do not wish to pay the new prices , you may cancel the services prior to the change going into effect .",0,0,0,0,0,0,0,0,0
9gag,9gag_92,either party may terminate the services at any time by notifying the other party by any means .,0,0,0,0,0,0,1,0,1
9gag,9gag_93,"9gag , inc may also terminate or suspend any and all services and access to the site immediately , without prior notice or liability , if subscriber breaches any of the terms or conditions of this agreement .",0,0,0,0,0,0,1,0,1
9gag,9gag_94,"upon termination of subscriber 's account , subscriber 's right to use the services , access the site , and any content will immediately cease .",0,0,0,0,0,0,0,0,0
9gag,9gag_95,"all provisions of this agreement which by their nature should survive termination shall survive termination , including , without limitation , ownership provisions , warranty disclaimers , and limitations of liability .",0,0,0,0,0,0,0,0,0
9gag,9gag_96,"termination of your access to and use of the site and the services shall not relieve subscriber of any obligations arising or accruing prior to such termination or limit any liability which subscriber otherwise may have to 9gag , inc or the site , including without limitation any indemnification obligations contained herein .",0,0,0,0,0,0,0,0,0
9gag,9gag_97,"please review our privacy policy , which governs the use of personal information on the site and to which subscriber agrees to be bound as a user of the site .",0,0,0,0,0,0,0,0,0
9gag,9gag_98,"this agreement -lrb- including the privacy policy -rrb- , as modified from time to time , constitutes the entire agreement between you , the site and 9gag , inc with respect to the subject matter hereof .",0,0,0,0,0,0,0,0,0
9gag,9gag_99,"this agreement replaces all prior or contemporaneous understandings or agreements , written or oral , regarding the subject matter hereof .",0,0,0,0,0,0,0,0,0
9gag,9gag_100,the failure of either party to exercise in any respect any right provided for herein shall not be deemed a waiver of any further rights hereunder .,0,0,0,0,0,0,0,0,0
9gag,9gag_101,"9gag , inc shall not be liable for any failure to perform its obligations hereunder where such failure results from any cause beyond 9gag , inc 's reasonable control , including , without limitation , mechanical , electronic or communications failure or degradation .",0,0,0,0,0,1,0,0,1
9gag,9gag_102,"if any provision of this agreement is found to be unenforceable or invalid , that provision shall be limited or eliminated to the minimum extent necessary so that this agreement shall otherwise remain in full force and effect and enforceable .",0,0,0,0,0,0,0,0,0
9gag,9gag_103,"this agreement is not assignable , transferable or sublicensable by subscriber except with 9gag , inc 's prior written consent .",0,0,0,0,0,0,0,0,0
9gag,9gag_104,"9gag , inc may assign this agreement in whole or in part at any time without subscriber 's consent .",0,0,0,0,0,0,0,0,0
9gag,9gag_105,this agreement shall be governed by and construed in accordance with the laws of the state of delaware without regard to the conflict of laws provisions thereof .,0,0,0,0,1,0,0,0,1
9gag,9gag_106,"no agency , partnership , joint venture , or employment is created as a result of this agreement and subscriber does not have any authority of any kind to bind 9gag , inc in any respect whatsoever .",0,0,0,0,0,0,0,0,0
9gag,9gag_107,notice and procedure for making claims of copyright or other intellectual property infringements,0,0,0,0,0,0,0,0,0
9gag,9gag_108,"9gag respects the intellectual property of others and takes the protection of copyrights and all other intellectual property very seriously , and we ask our users to do the same .",0,0,0,0,0,0,0,0,0
9gag,9gag_109,infringing activity will not be tolerated on or through the services .,0,0,0,0,0,0,0,0,0
9gag,9gag_110,"9gag 's intellectual property policy is to -lrb- a -rrb- remove material that 9gag believes in good faith , upon notice from an intellectual property owner or their agent , is infringing the intellectual property of a third party by being made available through the services , and -lrb- b -rrb- remove any subscriber content posted to the services by `` repeat infringers . ''",0,0,1,0,0,0,0,0,1
9gag,9gag_111,9gag considers a `` repeat infringer '' to be any user that has uploaded subscriber content to the services and for whom 9gag has received more than two takedown notices compliant with the provisions of 17 u.s.c. § 512 -lrb- c -rrb- with respect to such subscriber content .,0,0,0,0,0,0,0,0,0
9gag,9gag_112,"9gag has discretion , however , to terminate the account of any user after receipt of a single notification of claimed infringement or upon 9gag 's own determination .",0,0,0,0,0,0,1,0,1
9gag,9gag_113,"if you believe that any content made available on or through the services has been used or exploited in a manner that infringes an intellectual property right you own or control , then please promptly send a `` notification of claimed infringement '' containing the following information to the designated agent identified below .",0,0,0,0,0,0,0,0,0
9gag,9gag_114,your communication must include substantially the following :,0,0,0,0,0,0,0,0,0
9gag,9gag_115,- a physical or electronic signature of a person authorized to act on behalf of the owner of the work -lrb- s -rrb- that has/have been allegedly infringed ;,0,0,0,0,0,0,0,0,0
9gag,9gag_116,"- identification of works or materials being infringed , or , if multiple works are covered by a single notification , a representative list of such works ;",0,0,0,0,0,0,0,0,0
9gag,9gag_117,"- identification of the specific material that is claimed to be infringing or to be the subject of infringing activity and that is to be removed or access to which is to be disabled , and information reasonably sufficient to permit 9gag to locate the material ;",0,0,0,0,0,0,0,0,0
9gag,9gag_118,"- information reasonably sufficient to permit 9gag to contact you , such as an address , telephone number , and , if available , an electronic mail address at which you may be contacted ;",0,0,0,0,0,0,0,0,0
9gag,9gag_119,"- a statement that you have a good faith belief that the use of the material in the manner complained of is not authorized by the copyright owner , its agent , or the law ; and",0,0,0,0,0,0,0,0,0
9gag,9gag_120,"- a statement that the information in the notification is accurate , and under penalty of perjury , that you are authorized to act on behalf of the owner of an exclusive right that is allegedly infringed .",0,0,0,0,0,0,0,0,0
9gag,9gag_121,you should consult with your own lawyer and/or see 17 u.s.c. § 512 to confirm your obligations to provide a valid notice of claimed infringement .,0,0,0,0,0,0,0,0,0
9gag,9gag_122,9gag 's designated agent for notices of claimed infringement can be contacted at :,0,0,0,0,0,0,0,0,0
9gag,9gag_123,"16/f , king palace plaza ,",0,0,0,0,0,0,0,0,0
9gag,9gag_124,"if you receive a notification from 9gag that material made available by you on or through the services has been the subject of a notification of claimed infringement , then you will have the right to provide 9gag with what is called a `` counter notification . ''",0,0,0,0,0,0,0,0,0
9gag,9gag_125,"to be effective , a counter notification must be in writing , provided to 9gag 's designated agent through one of the methods identified immediately above , and include substantially the following information :",0,0,0,0,0,0,0,0,0
9gag,9gag_126,- a physical or electronic signature of the subscriber ;,0,0,0,0,0,0,0,0,0
9gag,9gag_127,- identification of the material that has been removed or to which access has been disabled and the location at which the material appeared before it was removed or access to it was disabled ;,0,0,0,0,0,0,0,0,0
9gag,9gag_128,- a statement under penalty of perjury that the subscriber has a good faith belief that the material was removed or disabled as a result of mistake or misidentification of the material to be removed or disabled ; and,0,0,0,0,0,0,0,0,0
9gag,9gag_129,"- the subscriber 's name , address , and telephone number , and a statement that the subscriber consents to the jurisdiction of federal district court for the judicial district in which the address is located , or if the subscriber 's address is outside of the united states , for any judicial district in which 9gag may be found , and that the subscriber will accept service of process from the person who provided a notification of claimed infringement as set forth above or an agent of such person .",0,0,0,0,0,0,0,0,0
9gag,9gag_130,a party submitting a counter notification should consult a lawyer or see 17 u.s.c. § 512 to confirm the party 's obligations to provide a valid counter notification under the copyright act .,0,0,0,0,0,0,0,0,0
9gag,9gag_131,9gag actions following receipt of counter notification,0,0,0,0,0,0,0,0,0
9gag,9gag_132,"upon receipt of a counter notification , 9gag shall promptly provide the party submitting a notification of claimed infringement with a copy of the counter notification , and 9gag will replace the removed material or cease disabling access to it in not less than 10 , nor more than fourteen -lrb- 14 -rrb- , business days following receipt of the counter notice , unless 9gag 's designated agent first receives notice from the person who submitted the notification of claimed infringement that such person has filed an action seeking a court order to restrain the subscriber from engaging in infringing activity relating to the material on 9gag 's system or network .",0,0,0,0,0,0,0,0,0
9gag,9gag_133,false notifications of claimed infringement or counter notifications,0,0,0,0,0,0,0,0,0
9gag,9gag_134,the copyright act provides that :,0,0,0,0,0,0,0,0,0
9gag,9gag_135,the copyright act provides that :,0,0,0,0,0,0,0,0,0
9gag,9gag_136,17 u.s.c. § 512 -lrb- f -rrb- .,0,0,0,0,0,0,0,0,0
9gag,9gag_137,9gag reserves the right to seek damages from any party that submits a notification of claimed infringement or counter notification in violation of the law .,0,0,0,0,0,0,0,0,0
9gag,9gag_138,"for the avoidance of doubt , only notices submitted under the digital millennium copyright act and the procedures set forth in this agreement should be sent to the designated agent at copyright@9gag.com or to the postal address identified above .",0,0,0,0,0,0,0,0,0
9gag,9gag_139,"any other comments , compliments , complaints or suggestions about 9gag , the operation of the services or any other matter should be sent to support@9gag.com .",0,0,0,0,0,0,0,0,0
Academia,Academia_1,"last updated date : may 15 , 2017",0,0,0,0,0,0,0,0,0
Academia,Academia_2,"academia , inc. -lrb- `` academia.edu '' or `` we '' -rrb- offers a social networking service which enables its users , including graduate students and academics , to create academic profile pages and to connect with other users , including graduate students and academics , around the world with the same research interests -lrb- the `` services '' -rrb- through our website , accessible at academia.edu -lrb- the `` site '' -rrb- .",0,0,0,0,0,0,0,0,0
Academia,Academia_3,"please read carefully the following terms and conditions -lrb- `` terms '' -rrb- and our privacy policy , which may be found at academia.edu/privacy and which is incorporated by reference into these terms .",0,0,0,0,0,0,0,0,0
Academia,Academia_4,"these terms govern your access to and use of the site , services and collective content -lrb- defined below -rrb- , and constitute a binding legal agreement between you and academia.edu .",0,0,0,0,0,0,0,0,0
Academia,Academia_5,"arbitration notice : unless you opt out of arbitration within 30 days of the date you first agree to these terms by following the opt-out procedure specified in the `` arbitration '' section below , and except for certain types of disputes described in the `` arbitration `` section below , you agree that disputes between you and academia.edu will be resolved by binding , individual arbitration and you are waiving your right to a trial by jury or to participate as a plaintiff or class member in any purported class action or representative proceeding .",1,0,0,0,0,0,0,0,1
Academia,Academia_6,"`` content '' means text , graphics , images , music , software , audio , video , information or other works of authorship .",0,0,0,0,0,0,0,0,0
Academia,Academia_7,"`` academia.edu content '' means content that academia.edu makes available through the site or services , including any content licensed from a third party , but excluding member content .",0,0,0,0,0,0,0,0,0
Academia,Academia_8,"`` member '' means a person who completes academia.edu 's account registration process , as described under the `` account registration '' section below .",0,0,0,0,0,0,0,0,0
Academia,Academia_9,"`` member content '' means content that a member posts , uploads , publishes , submits or transmits to be made available through the site or services .",0,0,0,0,0,0,0,0,0
Academia,Academia_10,"`` collective content '' means , collectively , academia.edu content and member content .",0,0,0,0,0,0,0,0,0
Academia,Academia_11,certain areas of the site -lrb- and your access to or use of certain services or collective content -rrb- may have different terms and conditions posted or may require you to agree with and accept additional terms and conditions .,0,0,0,0,0,0,0,0,0
Academia,Academia_12,"if there is a conflict between these terms and terms and conditions posted for a specific area of the site , services or collective content , the latter terms and conditions will take precedence with respect to your use of or access to that area of the site , services or collective content , as applicable .",0,0,0,0,0,0,0,0,0
Academia,Academia_13,"you acknowledge and agree that , by accessing or using the site or services or by downloading or posting any content from or on the site or through the services , you are indicating that you have read , and that you understand and agree to be bound by , these terms , whether or not you have registered on or through the site .",0,0,0,0,0,0,0,1,1
Academia,Academia_14,"if you do not agree to these terms , then you have no right to access or use the site , services or collective content .",0,0,0,0,0,0,0,0,0
Academia,Academia_15,"if you accept or agree to these terms on behalf of a company , university or other legal entity , you represent and warrant that you have the authority to bind that company , university or other legal entity to these terms and , in such event , `` you '' and `` your '' will refer and apply to that company or other legal entity .",0,0,0,0,0,0,0,0,0
